"variable","media","mediana","desv_estandar","varianza","minimo","maximo","rango","Q1","Q3","coef_variacion_pct","asimetria","curtosis"
"Area sembrada (ha)",237.958479325708,20,1234.54211174335,1524094.22566773,0,77630,77630,6,93,518.805682084376,18.4972423896947,554.57601763984
"Area cosechada (ha)",200.601543732576,15.5,1059.95088228572,1123495.87285827,0,46264,46264,4,75,528.386204095591,17.6879641025233,458.93022010197
"Produccion (t)",3280.5628863891,100,51235.1710104803,2625042748.47316,0,4776340.5,4776340.5,20,525,1561.77987695504,53.3918738429155,3908.26379604224
"Rendimiento (t/ha)",10.8954019566973,6.18,15.9635111882356,254.833689456923,0,253,253,1.87,13,146.516037239204,3.97052629590915,24.6620756813067
